Wavelength, W/m2 
450.612, 0.1095 
450.981, 0.1159 
451.35, 0.1230 
451.719, 0.1235 
452.087, 0.1234 
452.456, 0.1334 
452.825, 0.1427 
453.193, 0.1405 
453.562, 0.1461 
453.93, 0.1502 
454.299, 0.1575 
454.667, 0.1599 
455.035, 0.1644 
455.404, 0.1715 
455.772, 0.1661 
456.14, 0.1774 
456.508, 0.1820 
456.877, 0.1790 
457.245, 0.1811 
457.613, 0.1866 
457.981, 0.1869 
458.349, 0.1922 
458.717, 0.1883 
459.085, 0.1919 
459.452, 0.1874 
459.82, 0.1891 
460.188, 0.1852 
460.556, 0.1901 
460.923, 0.1810 
461.291, 0.1761 
461.659, 0.1729 
462.026, 0.1709 
462.394, 0.1702 
462.761, 0.1634 
463.128, 0.1636 
463.496, 0.1595 
463.863, 0.1513 
464.23, 0.1497 
464.598, 0.1462 
464.965, 0.1361 
465.332, 0.1382 
465.699, 0.1265 
466.066, 0.1269 
466.433, 0.1233 
466.8, 0.1171 
467.167, 0.1124 
467.534, 0.1063 
467.901, 0.1055 
468.268, 0.0999 
468.635, 0.0951 
469.001, 0.0909 
469.368, 0.0902 
469.735, 0.0880 
470.101, 0.0858 
470.468, 0.0821 
470.834, 0.0809 
471.201, 0.0815 
471.567, 0.0772 
471.934, 0.0729 
472.3, 0.0747 
472.666, 0.0723 
473.032, 0.0711 
473.399, 0.0666 
473.765, 0.0647 
474.131, 0.0646 
474.497, 0.0619 
474.863, 0.0611 
475.229, 0.0562 
475.595, 0.0582 
475.961, 0.0588 
476.327, 0.0542 
476.693, 0.0531 
477.058, 0.0516 
477.424, 0.0492 
477.79, 0.0490 
478.156, 0.0496 
478.521, 0.0472 
478.887, 0.0450 
479.252, 0.0421 
479.618, 0.0405 
479.983, 0.0405 
480.348, 0.0382 
480.714, 0.0375 
481.079, 0.0365 
481.444, 0.0343 
481.81, 0.0336 
482.175, 0.0321 
482.54, 0.0328 
482.905, 0.0317 
483.27, 0.0292 
483.635, 0.0278 
484, 0.0291 
484.365, 0.0271 
484.73, 0.0258 
485.095, 0.0246 
485.459, 0.0247 
485.824, 0.0230 
486.189, 0.0221 
486.553, 0.0227 
486.918, 0.0217 
487.283, 0.0224 
487.647, 0.0196 
488.012, 0.0200 
488.376, 0.0200 
488.74, 0.0184 
489.105, 0.0194 
489.469, 0.0184 
489.833, 0.0174 
490.198, 0.0175 
490.562, 0.0168 
490.926, 0.0162 
491.29, 0.0172 
491.654, 0.0164 
492.018, 0.0154 
492.382, 0.0151 
492.746, 0.0143 
493.11, 0.0148 
493.474, 0.0144 
493.837, 0.0136 
494.201, 0.0127 
494.565, 0.0137 
494.928, 0.0134 
495.292, 0.0134 
495.656, 0.0134 
496.019, 0.0107 
496.383, 0.0119 
496.746, 0.0125 
497.109, 0.0113 
497.473, 0.0115 
497.836, 0.0111 
498.199, 0.0115 
498.563, 0.0105 
498.926, 0.0095 
499.289, 0.0092 
499.652, 0.0103 
500.015, 0.0083 
500.378, 0.0091 
500.741, 0.0097 
501.104, 0.0083 
501.467, 0.0093 
501.829, 0.0091 
502.192, 0.0094 
502.555, 0.0092 
502.918, 0.0082 
503.28, 0.0075 
503.643, 0.0080 
504.005, 0.0087 
504.368, 0.0091 
504.73, 0.0075 
505.093, 0.0081 
505.455, 0.0088 
505.817, 0.0073 
506.18, 0.0080 
506.542, 0.0081 
506.904, 0.0080 
507.266, 0.0078 
507.628, 0.0068 
507.991, 0.0065 
508.353, 0.0075 
508.715, 0.0072 
509.076, 0.0062 
509.438, 0.0066 
509.8, 0.0073 
510.162, 0.0067 
510.524, 0.0076 
510.885, 0.0064 
511.247, 0.0070 
511.609, 0.0063 
511.97, 0.0065 
512.332, 0.0072 
512.693, 0.0078 
513.055, 0.0068 
513.416, 0.0067 
513.778, 0.0056 
514.139, 0.0066 
514.5, 0.0064 
514.861, 0.0061 
515.223, 0.0053 
515.584, 0.0066 
515.945, 0.0058 
516.306, 0.0070 
516.667, 0.0063 
517.028, 0.0072 
517.389, 0.0055 
517.75, 0.0051 
518.11, 0.0056 
518.471, 0.0046 
518.832, 0.0062 
519.193, 0.0074 
519.553, 0.0057 
519.914, 0.0070 
520.274, 0.0057 
520.635, 0.0061 
520.995, 0.0057 
521.356, 0.0069 
521.716, 0.0055 
522.076, 0.0051 
522.437, 0.0054 
522.797, 0.0062 
523.157, 0.0058 
523.517, 0.0056 
523.877, 0.0055 
524.238, 0.0064 
524.598, 0.0064 
524.958, 0.0059 
525.317, 0.0060 
525.677, 0.0059 
526.037, 0.0060 
526.397, 0.0066 
526.757, 0.0047 
527.116, 0.0060 
527.476, 0.0054 
527.836, 0.0063 
528.195, 0.0059 
528.555, 0.0051 
528.914, 0.0068 
529.274, 0.0063 
529.633, 0.0055 
529.993, 0.0061 
530.352, 0.0065 
530.711, 0.0057 
531.07, 0.0065 
531.429, 0.0053 
531.789, 0.0058 
532.148, 0.0061 
532.507, 0.0053 
532.866, 0.0063 
533.225, 0.0062 
533.584, 0.0050 
533.942, 0.0043 
534.301, 0.0049 
534.66, 0.0048 
535.019, 0.0052 
535.377, 0.0055 
535.736, 0.0062 
536.095, 0.0062 
536.453, 0.0064 
536.812, 0.0049 
537.17, 0.0058 
537.528, 0.0052 
537.887, 0.0056 
538.245, 0.0056 
538.603, 0.0063 
538.962, 0.0065 
539.32, 0.0053 
539.678, 0.0060 
540.036, 0.0053 
540.394, 0.0070 
540.752, 0.0070 
541.11, 0.0076 
541.468, 0.0075 
541.826, 0.0070 
542.184, 0.0068 
542.541, 0.0076 
542.899, 0.0073 
543.257, 0.0063 
543.614, 0.0075 
543.972, 0.0062 
544.33, 0.0072 
544.687, 0.0072 
545.045, 0.0106 
545.402, 0.0127 
545.759, 0.0156 
546.117, 0.0125 
546.474, 0.0097 
546.831, 0.0085 
547.188, 0.0065 
547.546, 0.0072 
547.903, 0.0063 
548.26, 0.0063 
548.617, 0.0064 
548.974, 0.0061 
549.331, 0.0075 
549.687, 0.0058 
550.044, 0.0056 
550.401, 0.0074 
550.758, 0.0052 
551.114, 0.0065 
551.471, 0.0056 
551.828, 0.0066 
552.184, 0.0062 
552.541, 0.0069 
552.897, 0.0057 
553.254, 0.0057 
553.61, 0.0060 
553.966, 0.0064 
554.323, 0.0060 
554.679, 0.0060 
555.035, 0.0057 
555.391, 0.0065 
555.747, 0.0066 
556.103, 0.0055 
556.459, 0.0067 
556.815, 0.0052 
557.171, 0.0057 
557.527, 0.0049 
557.883, 0.0060 
558.239, 0.0066 
558.594, 0.0057 
558.95, 0.0058 
559.306, 0.0059 
559.661, 0.0061 
560.017, 0.0057 
560.372, 0.0059 
560.728, 0.0054 
561.083, 0.0057 
561.438, 0.0060 
561.794, 0.0053 
562.149, 0.0063 
562.504, 0.0060 
562.859, 0.0066 
563.215, 0.0072 
563.57, 0.0056 
563.925, 0.0061 
564.28, 0.0058 
564.635, 0.0052 
564.99, 0.0062 
565.344, 0.0059 
565.699, 0.0074 
566.054, 0.0062 
566.409, 0.0056 
566.763, 0.0053 
567.118, 0.0059 
567.473, 0.0066 
567.827, 0.0068 
568.182, 0.0062 
568.536, 0.0063 
568.891, 0.0062 
569.245, 0.0066 
569.599, 0.0059 
569.953, 0.0053 
570.308, 0.0058 
570.662, 0.0057 
571.016, 0.0058 
571.37, 0.0054 
571.724, 0.0062 
572.078, 0.0058 
572.432, 0.0062 
572.786, 0.0063 
573.14, 0.0059 
573.494, 0.0056 
573.847, 0.0065 
574.201, 0.0057 
574.555, 0.0056 
574.908, 0.0054 
575.262, 0.0058 
575.615, 0.0052 
575.969, 0.0066 
576.322, 0.0079 
576.676, 0.0064 
577.029, 0.0065 
577.382, 0.0071 
577.736, 0.0060 
578.089, 0.0069 
578.442, 0.0080 
578.795, 0.0075 
579.148, 0.0070 
579.501, 0.0073 
579.854, 0.0069 
580.207, 0.0059 
580.56, 0.0063 
580.913, 0.0064 
581.265, 0.0062 
581.618, 0.0063 
581.971, 0.0071 
582.324, 0.0074 
582.676, 0.0060 
583.029, 0.0055 
583.381, 0.0068 
583.734, 0.0063 
584.086, 0.0056 
584.438, 0.0066 
584.791, 0.0071 
585.143, 0.0068 
585.495, 0.0071 
585.847, 0.0078 
586.2, 0.0062 
586.552, 0.0066 
586.904, 0.0072 
587.256, 0.0072 
587.608, 0.0067 
587.959, 0.0069 
588.311, 0.0065 
588.663, 0.0075 
589.015, 0.0064 
589.367, 0.0074 
589.718, 0.0066 
590.07, 0.0062 
590.421, 0.0063 
590.773, 0.0062 
591.124, 0.0069 
591.476, 0.0061 
591.827, 0.0055 
592.179, 0.0069 
592.53, 0.0072 
592.881, 0.0065 
593.232, 0.0055 
593.584, 0.0076 
593.935, 0.0075 
594.286, 0.0059 
594.637, 0.0068 
594.988, 0.0065 
595.339, 0.0067 
595.689, 0.0065 
596.04, 0.0073 
596.391, 0.0073 
596.742, 0.0067 
597.092, 0.0076 
597.443, 0.0070 
597.794, 0.0065 
598.144, 0.0077 
598.495, 0.0063 
598.845, 0.0066 
599.196, 0.0070 
599.546, 0.0057 
599.896, 0.0074 
600.247, 0.0061 
600.597, 0.0063 
600.947, 0.0063 
601.297, 0.0055 
601.647, 0.0060 
601.997, 0.0045 
602.347, 0.0062 
602.697, 0.0068 
603.047, 0.0075 
