Wavelength, W/m2 
454.667, 1.4766 
455.035, 1.5096 
455.404, 1.5286 
455.772, 1.5286 
456.14, 1.5691 
456.508, 1.5813 
456.877, 1.5797 
457.245, 1.5754 
457.613, 1.5844 
457.981, 1.5963 
458.349, 1.6075 
458.717, 1.5885 
459.085, 1.5966 
459.452, 1.5943 
459.82, 1.5768 
460.188, 1.5596 
460.556, 1.5750 
460.923, 1.5489 
461.291, 1.5245 
461.659, 1.5077 
462.026, 1.4981 
462.394, 1.4547 
462.761, 1.4381 
463.128, 1.4232 
463.496, 1.3903 
463.863, 1.3464 
464.23, 1.3321 
464.598, 1.2870 
464.965, 1.2375 
465.332, 1.2151 
465.699, 1.1450 
466.066, 1.1213 
466.433, 1.0873 
466.8, 1.0298 
467.167, 0.9998 
467.534, 0.9826 
467.901, 0.9309 
468.268, 0.8945 
468.635, 0.8789 
469.001, 0.8451 
469.368, 0.8080 
469.735, 0.7779 
470.101, 0.7604 
470.468, 0.7417 
470.834, 0.7209 
471.201, 0.6950 
471.567, 0.6787 
471.934, 0.6625 
472.3, 0.6457 
472.666, 0.6270 
473.032, 0.6113 
473.399, 0.5964 
473.765, 0.5736 
474.131, 0.5563 
474.497, 0.5380 
474.863, 0.5278 
475.229, 0.4991 
475.595, 0.4971 
475.961, 0.4830 
476.327, 0.4599 
476.693, 0.4533 
477.058, 0.4326 
477.424, 0.4165 
477.79, 0.4060 
478.156, 0.3950 
478.521, 0.3735 
478.887, 0.3662 
479.252, 0.3486 
479.618, 0.3335 
479.983, 0.3224 
480.348, 0.3093 
480.714, 0.2984 
481.079, 0.2879 
481.444, 0.2756 
481.81, 0.2663 
482.175, 0.2537 
482.54, 0.2456 
482.905, 0.2341 
483.27, 0.2220 
483.635, 0.2151 
484, 0.2051 
484.365, 0.2009 
484.73, 0.1933 
485.095, 0.1868 
485.459, 0.1790 
485.824, 0.1715 
486.189, 0.1629 
486.553, 0.1597 
486.918, 0.1524 
487.283, 0.1512 
487.647, 0.1453 
488.012, 0.1409 
488.376, 0.1335 
488.74, 0.1299 
489.105, 0.1241 
489.469, 0.1223 
489.833, 0.1203 
490.198, 0.1125 
490.562, 0.1114 
