Wavelength, W/m2 
479.618,0.5239
479.983,0.5085
480.348,0.5241
480.714,0.5254
481.079,0.5172
481.444,0.5235
481.81,0.5141
482.175,0.5173
482.54,0.5187
482.905,0.5201
483.27,0.5233
483.635,0.5187
484,0.5196
484.365,0.5251
484.73,0.5211
485.095,0.5135
485.459,0.5208
485.824,0.5231
486.189,0.5172
486.553,0.5238
486.918,0.5298
487.283,0.532
487.647,0.5305
488.012,0.5343
488.376,0.5428
488.74,0.5458
489.105,0.5455
489.469,0.5505
489.833,0.5494
490.198,0.5497
490.562,0.558
490.926,0.5603
491.29,0.564
491.654,0.5602
492.018,0.5595
492.382,0.5552
492.746,0.5587
493.11,0.5615
493.474,0.5602
493.837,0.5592
494.201,0.5568
494.565,0.5504
494.928,0.5503
495.292,0.5505
495.656,0.5502
496.019,0.5446
496.383,0.5411
496.746,0.533
497.109,0.5362
497.473,0.5264
497.836,0.5249
498.199,0.522
498.563,0.5088
498.926,0.5138
499.289,0.4975
499.652,0.5018
500.015,0.4974
500.378,0.4822
500.741,0.4823
501.104,0.4747
501.467,0.4667
501.829,0.4629
502.192,0.4543
502.555,0.4532
502.918,0.4494
503.28,0.4452
503.643,0.4367
504.005,0.4344
504.368,0.4351
504.73,0.4229
505.093,0.4246
505.455,0.4193
505.817,0.4173
506.18,0.4159
506.542,0.4068
506.904,0.4073
507.266,0.4037
507.628,0.3957
507.991,0.3945
508.353,0.3916
508.715,0.394
509.076,0.3882
509.438,0.3805
509.8,0.3816
510.162,0.3809
510.524,0.3732
510.885,0.3672
511.247,0.3679
511.609,0.3646
511.97,0.3673
512.332,0.3666
512.693,0.3583
513.055,0.3582
513.416,0.3551
513.778,0.3547
514.139,0.354
514.5,0.3553
514.861,0.3539
515.223,0.3557
515.584,0.3513
515.945,0.3474
516.306,0.349
516.667,0.3498
517.028,0.3467
517.389,0.3443
517.75,0.3458
518.11,0.3471
518.471,0.349
518.832,0.3421
519.193,0.3474
519.553,0.3426
519.914,0.3467
520.274,0.3474
520.635,0.3449
520.995,0.3455
521.356,0.3438
521.716,0.3441
522.076,0.3396
522.437,0.3407
522.797,0.3393
523.157,0.342
523.517,0.3384
523.877,0.34
524.238,0.3393
524.598,0.3457
524.958,0.3439
525.317,0.3414
525.677,0.344
526.037,0.3415
526.397,0.3421
526.757,0.3415
527.116,0.3429
527.476,0.3388
527.836,0.3398
528.195,0.3394
528.555,0.3448
528.914,0.3414
529.274,0.3388
529.633,0.339
529.993,0.3389
530.352,0.344
530.711,0.3404
531.07,0.3435
531.429,0.3365
531.789,0.3446
532.148,0.3425
532.507,0.3368
532.866,0.3376
533.225,0.3403
533.584,0.3347
533.942,0.3409
534.301,0.3387
534.66,0.3398
535.019,0.3424
535.377,0.3391
535.736,0.3389
536.095,0.3452
536.453,0.338
536.812,0.3358
537.17,0.3403
537.528,0.341
537.887,0.3416
538.245,0.3432
538.603,0.341
538.962,0.3427
539.32,0.3402
539.678,0.3389
540.036,0.3418
540.394,0.3432
540.752,0.3427
541.11,0.3483
541.468,0.343
541.826,0.3417
542.184,0.3429
542.541,0.3411
542.899,0.3456
543.257,0.3499
543.614,0.3475
543.972,0.3438
544.33,0.3409
544.687,0.3411
545.045,0.3436
545.402,0.3491
545.759,0.3523
546.117,0.3516
546.474,0.3475
546.831,0.3486
547.188,0.3496
547.546,0.3451
547.903,0.346
548.26,0.3457
548.617,0.3432
548.974,0.3469
549.331,0.3424
549.687,0.346
550.044,0.3387
550.401,0.3468
550.758,0.3474
551.114,0.3413
551.471,0.3457
551.828,0.3458
552.184,0.3422
552.541,0.3461
552.897,0.3471
553.254,0.3435
553.61,0.3464
553.966,0.3517
554.323,0.3491
554.679,0.3487
555.035,0.3497
555.391,0.3465
555.747,0.3475
556.103,0.3455
556.459,0.345
556.815,0.352
557.171,0.3494
557.527,0.3564
557.883,0.349
558.239,0.3511
558.594,0.3536
558.95,0.3528
559.306,0.3538
559.661,0.3519
560.017,0.3554
560.372,0.3498
560.728,0.3506
561.083,0.3507
561.438,0.3546
561.794,0.3582
562.149,0.3538
562.504,0.3573
562.859,0.3529
563.215,0.3581
563.57,0.3549
563.925,0.3585
564.28,0.3595
564.635,0.3597
564.99,0.3558
565.344,0.3613
565.699,0.3582
566.054,0.3567
566.409,0.3562
566.763,0.3574
567.118,0.3626
567.473,0.357
567.827,0.3619
568.182,0.3609
568.536,0.3579
568.891,0.3618
569.245,0.3641
569.599,0.364
569.953,0.3614
570.308,0.3658
570.662,0.3635
571.016,0.3635
571.37,0.3644
571.724,0.3679
572.078,0.3644
572.432,0.3639
572.786,0.3609
573.14,0.3624
573.494,0.3653
573.847,0.3646
574.201,0.3652
574.555,0.3664
574.908,0.3663
575.262,0.3663
575.615,0.3661
575.969,0.3716
576.322,0.37
576.676,0.3711
577.029,0.3668
577.382,0.3708
577.736,0.368
578.089,0.3705
578.442,0.3736
578.795,0.3709
579.148,0.3725
579.501,0.3706
579.854,0.3697
580.207,0.3721
580.56,0.3714
580.913,0.3721
581.265,0.3755
581.618,0.3715
581.971,0.3766
582.324,0.376
582.676,0.3696
583.029,0.3711
583.381,0.3714
583.734,0.3738
584.086,0.3735
584.438,0.3708
584.791,0.3767
585.143,0.3738
585.495,0.3732
585.847,0.3718
586.2,0.3769
586.552,0.3712
586.904,0.3751
587.256,0.3773
587.608,0.3784
587.959,0.3746
588.311,0.3766
588.663,0.3743
589.015,0.3776
589.367,0.376
589.718,0.3745
590.07,0.3827
590.421,0.3775
590.773,0.3768
591.124,0.378
591.476,0.3805
591.827,0.3786
592.179,0.3765
592.53,0.3749
592.881,0.378
593.232,0.3813
593.584,0.3772
593.935,0.3775
594.286,0.3816
594.637,0.3825
594.988,0.3773
595.339,0.3782
595.689,0.3826
596.04,0.3818
596.391,0.3864
596.742,0.3766
597.092,0.3799
597.443,0.3818
597.794,0.3811
598.144,0.3853
598.495,0.3852
598.845,0.3827
599.196,0.3861
599.546,0.3857
599.896,0.3839
600.247,0.3807
