Wavelength, W/m2 
450.612, 0.0101 
450.981, 0.0112 
451.35, 0.0101 
451.719, 0.0137 
452.087, 0.0116 
452.456, 0.0146 
452.825, 0.0118 
453.193, 0.0113 
453.562, 0.0124 
453.93, 0.0126 
454.299, 0.0111 
454.667, 0.0093 
455.035, 0.0117 
455.404, 0.0097 
455.772, 0.0093 
456.14, 0.0119 
456.508, 0.0108 
456.877, 0.0110 
457.245, 0.0109 
457.613, 0.0115 
457.981, 0.0093 
458.349, 0.0100 
458.717, 0.0105 
459.085, 0.0120 
459.452, 0.0092 
459.82, 0.0117 
460.188, 0.0117 
460.556, 0.0100 
460.923, 0.0107 
461.291, 0.0103 
461.659, 0.0091 
462.026, 0.0088 
462.394, 0.0107 
462.761, 0.0105 
463.128, 0.0117 
463.496, 0.0091 
463.863, 0.0103 
464.23, 0.0119 
464.598, 0.0107 
464.965, 0.0109 
465.332, 0.0095 
465.699, 0.0095 
466.066, 0.0090 
466.433, 0.0091 
466.8, 0.0085 
467.167, 0.0090 
467.534, 0.0087 
467.901, 0.0107 
468.268, 0.0093 
468.635, 0.0098 
469.001, 0.0114 
469.368, 0.0100 
469.735, 0.0105 
470.101, 0.0106 
470.468, 0.0082 
470.834, 0.0102 
471.201, 0.0111 
471.567, 0.0099 
471.934, 0.0093 
472.3, 0.0098 
472.666, 0.0103 
473.032, 0.0098 
473.399, 0.0099 
473.765, 0.0081 
474.131, 0.0107 
474.497, 0.0083 
474.863, 0.0092 
475.229, 0.0085 
475.595, 0.0097 
475.961, 0.0073 
476.327, 0.0091 
476.693, 0.0095 
477.058, 0.0088 
477.424, 0.0089 
477.79, 0.0093 
478.156, 0.0100 
478.521, 0.0094 
478.887, 0.0085 
479.252, 0.0092 
479.618, 0.0090 
479.983, 0.0094 
480.348, 0.0088 
480.714, 0.0085 
481.079, 0.0089 
481.444, 0.0094 
481.81, 0.0091 
482.175, 0.0102 
482.54, 0.0103 
482.905, 0.0104 
483.27, 0.0087 
483.635, 0.0100 
484, 0.0087 
484.365, 0.0087 
484.73, 0.0095 
485.095, 0.0097 
485.459, 0.0090 
485.824, 0.0111 
486.189, 0.0107 
486.553, 0.0105 
486.918, 0.0101 
487.283, 0.0095 
487.647, 0.0105 
488.012, 0.0109 
488.376, 0.0114 
488.74, 0.0121 
489.105, 0.0107 
489.469, 0.0115 
489.833, 0.0111 
490.198, 0.0127 
490.562, 0.0114 
490.926, 0.0126 
491.29, 0.0122 
491.654, 0.0122 
492.018, 0.0129 
492.382, 0.0121 
492.746, 0.0123 
493.11, 0.0120 
493.474, 0.0133 
493.837, 0.0146 
494.201, 0.0161 
494.565, 0.0148 
494.928, 0.0173 
495.292, 0.0146 
495.656, 0.0161 
496.019, 0.0161 
496.383, 0.0185 
496.746, 0.0172 
497.109, 0.0178 
497.473, 0.0184 
497.836, 0.0192 
498.199, 0.0193 
498.563, 0.0207 
498.926, 0.0212 
499.289, 0.0215 
499.652, 0.0229 
500.015, 0.0229 
500.378, 0.0234 
500.741, 0.0237 
501.104, 0.0262 
501.467, 0.0259 
501.829, 0.0279 
502.192, 0.0283 
502.555, 0.0291 
502.918, 0.0297 
503.28, 0.0312 
503.643, 0.0324 
504.005, 0.0317 
504.368, 0.0334 
504.73, 0.0346 
505.093, 0.0342 
505.455, 0.0361 
505.817, 0.0377 
506.18, 0.0395 
506.542, 0.0402 
506.904, 0.0436 
507.266, 0.0406 
507.628, 0.0426 
507.991, 0.0449 
508.353, 0.0447 
508.715, 0.0460 
509.076, 0.0476 
509.438, 0.0482 
509.8, 0.0495 
510.162, 0.0507 
510.524, 0.0529 
510.885, 0.0524 
511.247, 0.0531 
511.609, 0.0546 
511.97, 0.0548 
512.332, 0.0562 
512.693, 0.0589 
513.055, 0.0570 
513.416, 0.0594 
513.778, 0.0578 
514.139, 0.0595 
514.5, 0.0609 
514.861, 0.0598 
515.223, 0.0626 
515.584, 0.0624 
515.945, 0.0609 
516.306, 0.0607 
516.667, 0.0617 
517.028, 0.0610 
517.389, 0.0612 
517.75, 0.0609 
518.11, 0.0604 
518.471, 0.0600 
518.832, 0.0589 
519.193, 0.0593 
519.553, 0.0595 
519.914, 0.0590 
520.274, 0.0579 
520.635, 0.0564 
520.995, 0.0555 
521.356, 0.0535 
521.716, 0.0556 
522.076, 0.0563 
522.437, 0.0524 
522.797, 0.0514 
523.157, 0.0518 
523.517, 0.0509 
523.877, 0.0511 
524.238, 0.0488 
524.598, 0.0485 
524.958, 0.0482 
525.317, 0.0453 
525.677, 0.0437 
526.037, 0.0450 
526.397, 0.0445 
526.757, 0.0440 
527.116, 0.0425 
527.476, 0.0415 
527.836, 0.0410 
528.195, 0.0409 
528.555, 0.0404 
528.914, 0.0390 
529.274, 0.0387 
529.633, 0.0374 
529.993, 0.0372 
530.352, 0.0359 
530.711, 0.0377 
531.07, 0.0364 
531.429, 0.0359 
531.789, 0.0357 
532.148, 0.0342 
532.507, 0.0323 
532.866, 0.0345 
533.225, 0.0337 
533.584, 0.0318 
533.942, 0.0315 
534.301, 0.0317 
534.66, 0.0313 
535.019, 0.0297 
535.377, 0.0289 
535.736, 0.0290 
536.095, 0.0290 
536.453, 0.0298 
536.812, 0.0287 
537.17, 0.0263 
537.528, 0.0295 
537.887, 0.0261 
538.245, 0.0278 
538.603, 0.0276 
538.962, 0.0254 
539.32, 0.0252 
539.678, 0.0252 
540.036, 0.0235 
540.394, 0.0254 
540.752, 0.0249 
541.11, 0.0245 
541.468, 0.0244 
541.826, 0.0258 
542.184, 0.0217 
542.541, 0.0229 
542.899, 0.0219 
543.257, 0.0213 
543.614, 0.0215 
543.972, 0.0211 
544.33, 0.0221 
544.687, 0.0214 
545.045, 0.0247 
545.402, 0.0272 
545.759, 0.0280 
546.117, 0.0245 
546.474, 0.0217 
546.831, 0.0198 
547.188, 0.0202 
547.546, 0.0176 
547.903, 0.0164 
548.26, 0.0171 
548.617, 0.0162 
548.974, 0.0162 
549.331, 0.0164 
549.687, 0.0159 
550.044, 0.0158 
550.401, 0.0152 
550.758, 0.0163 
551.114, 0.0146 
551.471, 0.0155 
551.828, 0.0138 
552.184, 0.0138 
552.541, 0.0138 
552.897, 0.0137 
553.254, 0.0129 
553.61, 0.0135 
553.966, 0.0137 
554.323, 0.0129 
554.679, 0.0129 
555.035, 0.0117 
555.391, 0.0123 
555.747, 0.0131 
556.103, 0.0131 
556.459, 0.0130 
556.815, 0.0115 
557.171, 0.0126 
557.527, 0.0124 
557.883, 0.0121 
558.239, 0.0109 
558.594, 0.0108 
558.95, 0.0117 
559.306, 0.0106 
559.661, 0.0112 
560.017, 0.0113 
560.372, 0.0096 
560.728, 0.0109 
561.083, 0.0105 
561.438, 0.0103 
561.794, 0.0106 
562.149, 0.0096 
562.504, 0.0102 
562.859, 0.0106 
563.215, 0.0102 
563.57, 0.0102 
563.925, 0.0099 
564.28, 0.0108 
564.635, 0.0096 
564.99, 0.0093 
565.344, 0.0095 
565.699, 0.0093 
566.054, 0.0091 
566.409, 0.0093 
566.763, 0.0089 
567.118, 0.0094 
567.473, 0.0080 
567.827, 0.0083 
568.182, 0.0088 
568.536, 0.0096 
568.891, 0.0089 
569.245, 0.0095 
569.599, 0.0086 
569.953, 0.0076 
570.308, 0.0090 
570.662, 0.0081 
571.016, 0.0085 
571.37, 0.0077 
571.724, 0.0094 
572.078, 0.0085 
572.432, 0.0083 
572.786, 0.0089 
573.14, 0.0082 
573.494, 0.0086 
573.847, 0.0085 
574.201, 0.0083 
574.555, 0.0081 
574.908, 0.0083 
575.262, 0.0078 
575.615, 0.0085 
575.969, 0.0091 
576.322, 0.0088 
576.676, 0.0095 
577.029, 0.0079 
577.382, 0.0079 
577.736, 0.0085 
578.089, 0.0090 
578.442, 0.0092 
578.795, 0.0092 
579.148, 0.0085 
579.501, 0.0077 
579.854, 0.0088 
580.207, 0.0083 
580.56, 0.0082 
580.913, 0.0078 
581.265, 0.0073 
581.618, 0.0083 
581.971, 0.0087 
582.324, 0.0077 
582.676, 0.0076 
583.029, 0.0072 
583.381, 0.0079 
583.734, 0.0077 
584.086, 0.0082 
584.438, 0.0068 
584.791, 0.0068 
585.143, 0.0081 
585.495, 0.0080 
585.847, 0.0082 
586.2, 0.0080 
586.552, 0.0080 
586.904, 0.0065 
587.256, 0.0081 
587.608, 0.0082 
587.959, 0.0064 
588.311, 0.0068 
588.663, 0.0070 
589.015, 0.0073 
589.367, 0.0078 
589.718, 0.0075 
590.07, 0.0067 
590.421, 0.0071 
590.773, 0.0067 
591.124, 0.0076 
591.476, 0.0070 
591.827, 0.0077 
592.179, 0.0068 
592.53, 0.0073 
592.881, 0.0067 
593.232, 0.0075 
593.584, 0.0071 
593.935, 0.0068 
594.286, 0.0067 
594.637, 0.0079 
594.988, 0.0076 
595.339, 0.0072 
595.689, 0.0069 
596.04, 0.0060 
596.391, 0.0078 
596.742, 0.0066 
597.092, 0.0075 
597.443, 0.0060 
597.794, 0.0067 
598.144, 0.0071 
598.495, 0.0070 
598.845, 0.0073 
599.196, 0.0079 
599.546, 0.0071 
599.896, 0.0063 
600.247, 0.0073 
600.597, 0.0073 
600.947, 0.0074 
601.297, 0.0060 
601.647, 0.0071 
601.997, 0.0073 
602.347, 0.0066 
602.697, 0.0073 
603.047, 0.0074 
603.397, 0.0079 
603.747, 0.0065 
604.096, 0.0070 
604.446, 0.0060 
604.796, 0.0064 
605.145, 0.0068 
605.495, 0.0063 
605.844, 0.0075 
606.194, 0.0072 
606.543, 0.0081 
606.893, 0.0076 
607.242, 0.0081 
607.591, 0.0069 
607.94, 0.0078 
608.29, 0.0066 
608.639, 0.0079 
608.988, 0.0067 
609.337, 0.0075 
609.686, 0.0077 
610.035, 0.0077 
610.384, 0.0085 
610.733, 0.0090 
611.081, 0.0100 
611.43, 0.0089 
611.779, 0.0094 
612.127, 0.0090 
612.476, 0.0092 
612.825, 0.0087 
613.173, 0.0075 
613.522, 0.0077 
613.87, 0.0078 
614.218, 0.0075 
614.567, 0.0075 
614.915, 0.0069 
615.263, 0.0080 
615.611, 0.0062 
615.96, 0.0079 
616.308, 0.0061 
616.656, 0.0071 
617.004, 0.0073 
617.352, 0.0067 
617.7, 0.0073 
618.047, 0.0072 
618.395, 0.0062 
618.743, 0.0070 
619.091, 0.0082 
619.438, 0.0070 
619.786, 0.0066 
620.134, 0.0068 
620.481, 0.0059 
620.829, 0.0074 
621.176, 0.0064 
621.523, 0.0074 
621.871, 0.0076 
622.218, 0.0075 
622.565, 0.0072 
622.912, 0.0069 
623.259, 0.0076 
623.607, 0.0070 
623.954, 0.0064 
624.301, 0.0060 
624.648, 0.0069 
624.994, 0.0068 
625.341, 0.0079 
625.688, 0.0067 
626.035, 0.0058 
626.382, 0.0078 
626.728, 0.0072 
627.075, 0.0073 
627.421, 0.0065 
627.768, 0.0066 
628.114, 0.0066 
628.461, 0.0060 
628.807, 0.0070 
629.154, 0.0066 
629.5, 0.0066 
629.846, 0.0067 
630.192, 0.0083 
630.538, 0.0061 
630.884, 0.0068 
631.231, 0.0060 
631.577, 0.0079 
631.922, 0.0073 
632.268, 0.0068 
632.614, 0.0065 
632.96, 0.0084 
633.306, 0.0070 
633.651, 0.0059 
633.997, 0.0055 
634.343, 0.0061 
634.688, 0.0065 
635.034, 0.0054 
635.379, 0.0067 
635.725, 0.0073 
636.07, 0.0066 
636.415, 0.0072 
636.761, 0.0066 
637.106, 0.0067 
637.451, 0.0071 
637.796, 0.0066 
638.141, 0.0068 
638.486, 0.0071 
638.831, 0.0069 
639.176, 0.0065 
639.521, 0.0064 
639.866, 0.0076 
640.211, 0.0067 
640.555, 0.0065 
640.9, 0.0065 
641.245, 0.0083 
641.589, 0.0059 
641.934, 0.0058 
642.278, 0.0073 
642.623, 0.0068 
642.967, 0.0065 
643.312, 0.0076 
643.656, 0.0068 
644, 0.0073 
644.344, 0.0064 
644.689, 0.0070 
645.033, 0.0063 
645.377, 0.0078 
645.721, 0.0076 
646.065, 0.0072 
646.409, 0.0067 
646.753, 0.0066 
647.096, 0.0068 
647.44, 0.0070 
647.784, 0.0087 
648.128, 0.0074 
648.471, 0.0061 
648.815, 0.0083 
649.158, 0.0079 
649.502, 0.0064 
649.845, 0.0058 
650.189, 0.0066 
650.532, 0.0081 
650.875, 0.0084 
651.218, 0.0074 
651.562, 0.0074 
651.905, 0.0077 
652.248, 0.0073 
652.591, 0.0076 
652.934, 0.0078 
653.277, 0.0078 
653.62, 0.0076 
653.963, 0.0075 
654.305, 0.0068 
654.648, 0.0060 
654.991, 0.0080 
655.334, 0.0073 
655.676, 0.0083 
656.019, 0.0078 
656.361, 0.0069 
656.704, 0.0073 
657.046, 0.0074 
657.389, 0.0062 
657.731, 0.0080 
658.073, 0.0074 
658.415, 0.0065 
658.757, 0.0079 
659.1, 0.0067 
659.442, 0.0081 
659.784, 0.0069 
660.126, 0.0071 
660.468, 0.0074 
660.809, 0.0082 
661.151, 0.0087 
661.493, 0.0082 
661.835, 0.0076 
662.177, 0.0081 
662.518, 0.0083 
662.86, 0.0084 
663.201, 0.0073 
663.543, 0.0086 
663.884, 0.0076 
664.226, 0.0080 
664.567, 0.0084 
664.908, 0.0080 
665.249, 0.0074 
665.591, 0.0092 
665.932, 0.0080 
666.273, 0.0073 
666.614, 0.0088 
666.955, 0.0082 
667.296, 0.0084 
667.637, 0.0079 
667.978, 0.0081 
668.318, 0.0078 
668.659, 0.0069 
669, 0.0093 
669.341, 0.0095 
669.681, 0.0091 
670.022, 0.0077 
670.362, 0.0078 
670.703, 0.0097 
671.043, 0.0086 
671.383, 0.0079 
671.724, 0.0073 
672.064, 0.0079 
672.404, 0.0081 
672.744, 0.0077 
673.085, 0.0082 
673.425, 0.0080 
673.765, 0.0071 
674.105, 0.0086 
674.444, 0.0085 
674.784, 0.0064 
675.124, 0.0086 
675.464, 0.0077 
675.804, 0.0078 
676.143, 0.0085 
676.483, 0.0085 
676.823, 0.0081 
677.162, 0.0082 
677.501, 0.0084 
677.841, 0.0087 
678.18, 0.0094 
678.52, 0.0085 
678.859, 0.0082 
679.198, 0.0079 
679.537, 0.0096 
679.876, 0.0079 
680.215, 0.0074 
680.555, 0.0077 
680.894, 0.0091 
681.232, 0.0084 
681.571, 0.0097 
681.91, 0.0076 
682.249, 0.0093 
682.588, 0.0075 
682.926, 0.0090 
683.265, 0.0070 
683.604, 0.0099 
683.942, 0.0075 
684.281, 0.0080 
684.619, 0.0105 
684.957, 0.0070 
685.296, 0.0095 
685.634, 0.0077 
685.972, 0.0076 
686.31, 0.0086 
686.649, 0.0068 
686.987, 0.0070 
687.325, 0.0082 
687.663, 0.0081 
688.001, 0.0070 
688.338, 0.0095 
688.676, 0.0090 
689.014, 0.0083 
689.352, 0.0075 
689.69, 0.0091 
690.027, 0.0087 
690.365, 0.0085 
690.702, 0.0077 
691.04, 0.0091 
691.377, 0.0107 
691.715, 0.0091 
692.052, 0.0100 
692.389, 0.0090 
692.726, 0.0077 
693.064, 0.0090 
693.401, 0.0099 
693.738, 0.0078 
694.075, 0.0088 
694.412, 0.0081 
694.749, 0.0072 
695.086, 0.0086 
695.423, 0.0087 
695.759, 0.0084 
696.096, 0.0095 
696.433, 0.0084 
696.769, 0.0103 
697.106, 0.0098 
697.443, 0.0088 
697.779, 0.0111 
698.116, 0.0089 
698.452, 0.0103 
698.788, 0.0108 
699.125, 0.0087 
699.461, 0.0097 
699.797, 0.0100 
700.133, 0.0090 
700.469, 0.0098 
700.805, 0.0096 
701.141, 0.0093 
701.477, 0.0110 
701.813, 0.0116 
702.149, 0.0098 
702.485, 0.0101 
702.82, 0.0067 
703.156, 0.0095 
703.492, 0.0114 
703.827, 0.0091 
704.163, 0.0091 
704.498, 0.0098 
704.834, 0.0093 
705.169, 0.0101 
705.505, 0.0095 
705.84, 0.0089 
706.175, 0.0094 
706.51, 0.0090 
706.845, 0.0103 
707.18, 0.0094 
707.515, 0.0095 
707.85, 0.0104 
708.185, 0.0107 
708.52, 0.0107 
708.855, 0.0097 
709.19, 0.0098 
709.525, 0.0104 
709.859, 0.0088 
710.194, 0.0107 
710.529, 0.0066 
710.863, 0.0109 
711.198, 0.0113 
711.532, 0.0102 
711.866, 0.0107 
712.201, 0.0121 
712.535, 0.0107 
712.869, 0.0111 
713.203, 0.0115 
713.537, 0.0115 
713.872, 0.0103 
714.206, 0.0108 
714.54, 0.0097 
714.873, 0.0098 
715.207, 0.0125 
715.541, 0.0096 
715.875, 0.0120 
716.209, 0.0124 
716.542, 0.0129 
716.876, 0.0108 
717.21, 0.0111 
717.543, 0.0131 
717.877, 0.0113 
718.21, 0.0129 
718.543, 0.0096 
718.877, 0.0089 
719.21, 0.0124 
719.543, 0.0126 
719.876, 0.0099 
720.209, 0.0104 
720.542, 0.0112 
720.875, 0.0142 
721.208, 0.0105 
721.541, 0.0102 
721.874, 0.0115 
722.207, 0.0093 
722.54, 0.0116 
722.872, 0.0137 
723.205, 0.0128 
723.538, 0.0113 
723.87, 0.0116 
724.203, 0.0105 
