Wavelength, W/m2 
450.612, 0.0115 
450.981, 0.0117 
451.35, 0.0112 
451.719, 0.0122 
452.087, 0.0113 
452.456, 0.0101 
452.825, 0.0104 
453.193, 0.0094 
453.562, 0.0113 
453.93, 0.0080 
454.299, 0.0102 
454.667, 0.0106 
455.035, 0.0111 
455.404, 0.0125 
455.772, 0.0128 
456.14, 0.0109 
456.508, 0.0107 
456.877, 0.0092 
457.245, 0.0112 
457.613, 0.0075 
457.981, 0.0100 
458.349, 0.0095 
458.717, 0.0110 
459.085, 0.0109 
459.452, 0.0071 
459.82, 0.0113 
460.188, 0.0102 
460.556, 0.0095 
460.923, 0.0088 
461.291, 0.0107 
461.659, 0.0118 
462.026, 0.0106 
462.394, 0.0093 
462.761, 0.0103 
463.128, 0.0099 
463.496, 0.0090 
463.863, 0.0108 
464.23, 0.0081 
464.598, 0.0105 
464.965, 0.0078 
465.332, 0.0084 
465.699, 0.0102 
466.066, 0.0091 
466.433, 0.0089 
466.8, 0.0086 
467.167, 0.0097 
467.534, 0.0097 
467.901, 0.0097 
468.268, 0.0074 
468.635, 0.0111 
469.001, 0.0094 
469.368, 0.0099 
469.735, 0.0076 
470.101, 0.0097 
470.468, 0.0104 
470.834, 0.0095 
471.201, 0.0098 
471.567, 0.0095 
471.934, 0.0089 
472.3, 0.0076 
472.666, 0.0075 
473.032, 0.0092 
473.399, 0.0078 
473.765, 0.0079 
474.131, 0.0085 
474.497, 0.0080 
474.863, 0.0057 
475.229, 0.0082 
475.595, 0.0080 
475.961, 0.0077 
476.327, 0.0082 
476.693, 0.0089 
477.058, 0.0083 
477.424, 0.0078 
477.79, 0.0079 
478.156, 0.0077 
478.521, 0.0071 
478.887, 0.0087 
479.252, 0.0067 
479.618, 0.0075 
479.983, 0.0072 
480.348, 0.0067 
480.714, 0.0071 
481.079, 0.0078 
481.444, 0.0075 
481.81, 0.0085 
482.175, 0.0086 
482.54, 0.0076 
482.905, 0.0075 
483.27, 0.0084 
483.635, 0.0082 
484, 0.0068 
484.365, 0.0069 
484.73, 0.0060 
485.095, 0.0060 
485.459, 0.0067 
485.824, 0.0061 
486.189, 0.0063 
486.553, 0.0055 
486.918, 0.0066 
487.283, 0.0068 
487.647, 0.0083 
